Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features,,,,
Yaa Mohaideen Briyani,Pallavaram,['Biryani'],"['Bread Halwa', ' Chicken 65', ' Mutton Biryani', ' Chicken Biryani', ' Brinjal Gravy', ' Basmati Rice', ' Raita']",500,4.3,1500,4.3,9306,"['Home Delivery', 'Indoor Seating']",,,,
Sukkubhai Biriyani,Alandur,"['Biryani', ' North Indian', ' Mughlai', ' Desserts', ' Beverages']","['Beef Biryani', ' Beef Fry', ' Paratha', ' Paya', ' Brinjal Curry', ' Chicken 65', ' Chicken Biryani']",1000,4.4,3059,4.1,39200,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']",,,,
SS Hyderabad Biryani,Kodambakkam,"['Biryani', ' North Indian', ' Chinese', ' Arabian']","['Brinjal Curry', ' Tandoori Chicken', ' Chicken Grill', ' Brinjal Gravy', ' Hyderabadi Biryani', ' Mutton Biryani', ' Chicken 65']",500,4.3,1361,4.4,10500,"['Home Delivery', 'Indoor Seating']",,,,
KFC,Perambur,"['Burger', ' Fast Food', ' Finger Food', ' Beverages']",['Zinger Burger'],500,4,1101,4,11200,"['Home Delivery', 'Free Parking', 'Card Upon Delivery', 'Indoor Seating', 'Wifi']",,,,
Tasty Kitchen,Perambur,"['Chinese', ' Biryani', ' North Indian', ' Chettinad', ' Arabian']","['Mutton Biryani', ' Chicken Rice', ' Tomato Rice', ' Shawarma', ' Egg Fried Rice']",450,4.2,617,4.1,22400,"['Home Delivery', 'Indoor Seating']",,,,
Dine N Fun,Medavakkam,"['South Indian', ' North Indian', ' Chinese']","['Chicken Grill', ' Shawarma', ' Naan', ' Chicken Butter Masala', ' Chilli Chicken', ' Fried Rice Chicken']",450,4.1,567,3.8,24700,"['Home Delivery', 'Indoor Seating']",,,,
Bai Veetu Kalyanam,Navallur,['Biryani'],"['Bread Halwa', ' Mutton Biryani', ' Brinjal Gravy', ' Raita', ' Brinjal Curry']",350,None,Does not offer Dining,4.3,1061,['Home Delivery'],,,,
Cafe Arabica,Anna Nagar East,"['Cafe', ' Fast Food']","['Burgers', ' Pasta', ' Sandwich', ' Strawberry Mojito', ' Baklava', ' Cappuccino', ' Chocolate Cake']",800,4.3,668,4.3,4320,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",,,,
Savoury Sea Shell,Anna Nagar East,"['Arabian', ' Chinese', ' North Indian', ' Lebanese', ' Salad']","['Shawarma', ' Chicken Grill', ' Brownie', ' Sea Food', ' Bbq Chicken', ' Biryani', ' Fish']",1400,4.2,2564,4.1,21700,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']",,,,
Sangeetha Veg Restaurant,T. Nagar,"['South Indian', ' North Indian', ' Chinese', ' Chettinad', ' Desserts', ' Beverages']","['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']",,,,
